name,zoopla_name,latitude,longitude,post_code_area,commute_city_min,commute_city_max,commute_oxford_circus_min,commute_oxford_circus_max,commute_waterloo_min,commute_waterloo_max,lower_quartile_studio_rent,median_studio_rent,upper_quartile_studio_rent,lower_quartile_one_bedroom_rent,median_one_bedroom_rent,upper_quartile_one_bedroom_rent,aldi_count,asda_count,bakery_count,bar_count,british_resuarant_count,chinese_restaurant_count,cinema_count,french_restaurant_count,gymbox_count,indian_restaurant_count,italian_restaurant_count,japanese_restaurant_count,lidl_count,morrisons_count,museum_count,nightclub_count,pub_count,sainsburys_count,tesco_count,thai_restaurant_count,theater_count,waitrose_count,gym_count,park_count,age_19_minus_perc,age_20s_perc,age_30s_perc,age_40_plus_perc,average_household_income,very_good_health_perc
abbey_wood,"Abbey Wood, London",51.492612,0.118818,SE (South East London),31.0,41.0,34.0,44.0,29.0,39.0,,,,552,905,1000,1,0,3,1,0,5,0,0,0,3,0,0,1,2,0,0,4,1,0,0,1,0,0,2,0.34,0.13,0.16,0.38,30773.0,0.49
acton,"Acton, London",51.508372,-0.27444,W (West London),37.0,47.0,25.0,35.0,33.0,43.0,826,905,1005,1069,1283,1405,0,0,5,8,1,8,1,1,0,7,5,10,1,2,4,0,15,8,4,4,3,2,4,2,0.23,0.18,0.19,0.39,43295.1,0.51
addiscombe,"Addiscombe, London",51.38055,-0.072274,"CR (Croydon, Outer London)",30.0,40.0,39.0,49.0,30.0,40.0,753,805,853,705,922,1005,1,0,3,9,0,13,2,0,0,7,4,1,1,0,0,0,19,6,7,1,5,1,0,2,0.26,0.15,0.17,0.42,38711.78,0.48
aldborough_hatch,"Aldborough Hatch, London",51.585525,0.098766,"IG (Ilford, Outer London)",45.0,55.0,48.0,58.0,51.0,61.0,853,1053,1370,1000,1305,1605,1,0,3,1,0,3,0,0,0,6,0,0,0,0,0,1,5,4,1,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
aldgate,"Aldgate, London",51.513438,-0.077171,EC (East Central London),4.0,14.0,18.0,28.0,14.0,24.0,1305,1605,1740,1505,1740,2175,0,1,13,20,16,20,12,7,4,20,20,21,0,0,12,20,20,20,20,15,9,4,39,2,0.16,0.34,0.24,0.26,64418.34,0.54
alperton,"Alperton, London",51.539601,-0.298837,"HA (Harrow, Outer London)",40.0,50.0,33.0,43.0,37.0,47.0,846,905,1005,953,1131,1253,0,0,3,9,0,6,1,0,0,15,2,0,0,0,0,7,6,2,4,1,2,0,2,2,0.24,0.19,0.18,0.39,31864.17,0.46
anerley,"Anerley, London",51.411911,-0.067978,SE (South East London),25.0,35.0,37.0,47.0,28.0,38.0,805,879,927,927,1031,1105,2,0,5,10,0,16,2,1,0,7,4,4,0,0,4,3,16,9,7,4,2,0,1,2,0.25,0.16,0.22,0.37,34118.69,0.48
angel,"Angel, London",51.534676,-0.104291,N (North London),13.0,23.0,15.0,25.0,19.0,29.0,892,1179,1414,1522,1740,1957,0,0,11,20,4,17,9,7,2,19,20,15,0,0,12,14,20,20,20,11,8,8,17,2,0.18,0.25,0.21,0.35,60048.16,0.54
archway,"Archway, London",51.564888,-0.132381,N (North London),23.0,33.0,18.0,28.0,20.0,30.0,848,957,1105,1175,1301,1414,1,0,7,17,1,12,5,1,1,8,13,9,2,1,0,3,20,12,9,12,4,2,5,2,0.21,0.2,0.2,0.39,50962.31,0.5
arnos_grove,"Arnos Grove, London",51.619799,-0.129687,N (North London),33.0,43.0,29.0,39.0,35.0,45.0,816,861,1000,894,1105,1205,0,2,8,7,1,10,1,0,0,8,7,1,0,1,0,1,9,2,4,1,4,0,2,2,0.22,0.15,0.15,0.47,54597.92,0.49
